Année;Nom région;Code région;Domaine de tension;Nb sites Photovoltaïque Enedis;Energie produite annuelle Photovoltaïque Enedis (MWh);Nb sites Eolien Enedis;Energie produite annuelle Eolien Enedis (MWh);Nb sites Hydraulique Enedis;Energie produite annuelle Hydraulique Enedis (MWh);Nb sites Bio Energie Enedis;Energie produite annuelle Bio Energie Enedis (MWh);Nb sites Cogénération Enedis;Energie produite annuelle Cogénération Enedis (MWh);Nb sites Autres filières Enedis;Energie produite annuelle Autres filières Enedis (MWh);geom;Geo Point 2D
2011;Bourgogne-Franche-Comté;27;HTA;7;2873,019207;12;153891,7404;131;178651,2295;9;107907,0122;22;278770,0261;4;247,968165;;
2011;Occitanie;76;HTA;150;163983,077;78;1412877,653;453;966396,6731;17;350650,0584;25;306465,3058;7;428,55984;;
2012;Centre-Val de Loire;24;HTA;7;21289,15805;49;1159912,939;17;37353,50166;11;190429,9339;28;297674,356;0;0;;
2012;Grand-Est;44;HTA;24;41984,54768;174;3343073,091;173;250577,4865;21;193703,6898;51;585205,4363;13;706,8732397;;
2013;Auvergne-Rhône-Alpes;84;HTA;71;129473,3815;47;695851,681;306;1585419,736;32;532262,4694;56;423228,2412;10;906,671;;
2014;Auvergne-Rhône-Alpes;84;HTA;81;207227,6428;49;713991,7193;324;1489090,919;33;618822,5375;52;435130,1608;14;508,383;;
2015;Grand-Est;44;HTA;27;53365,1;243;4866659,387;174;223106,5174;35;317970,7116;48;414333,2915;13;1242,635;;
2015;Normandie;28;HTA;10;33834,069;67;1258107,885;30;101389,155;21;111352,6519;36;362119,376;11;587,624;;
2017;Grand-Est;44;HTA;35;61010,859;299;5256576,569;178;234070,114;49;386109,121;53;409789,501;15;6974,079;;
2016;Hauts-de-France;32;HTA;13;29228,373;262;4409112,28;8;3885,212;36;463815,305;71;544077,375;6;1468,746;;
2016;Pays de la Loire;52;HTA;41;69116,431;79;1256025,272;24;16520,463;28;307391,643;59;426255,243;2;27136,99;;
2018;Hauts-de-France;32;HTA;15;32514,0785;305;6020268,969;10;4019,284;42;556860,0622;72;584488,0678;2;210,7543333;;
2020;CENTRE VAL DE LOIRE;24;HTA;122;107952,8285;97;2320228,326;19;41437,34375;23;368771,809;38;204184,1551;0;0;"{""type"": ""Polygon"", ""coordinates"": [[[0.053830056, 47.1637337475], [0.1742180293, 47.071274231], [0.2982299258, 47.0539222927], [0.3007387966, 46.9738295189], [0.4387045763, 46.9295783538], [0.5061349705, 46.9592454189], [0.692566768, 46.9743043096], [0.7043177119, 46.9032959213], [0.790328569, 46.8523892822], [0.8119019294, 46.7945043636], [0.9247492906, 46.6927896327], [0.8943032961, 46.6257321744], [1.145928878, 46.5064008737], [1.1772787761, 46.3839479995], [1.4143961094, 46.347792873], [1.5223067602, 46.4265276945], [1.6448463938, 46.3868167485], [1.7277096608, 46.3889559972], [1.8195044214, 46.4300338766], [1.9930771581, 46.4309173425], [2.0889457685, 46.4088996154], [2.2810437278, 46.4204035468], [2.3520036092, 46.5122068443], [2.614960706, 46.5532764546], [2.5966478586, 46.6372150668], [2.7049698717, 46.7393899921], [2.7744893811, 46.7189028964], [2.9599186279, 46.8038720753], [3.0320629441, 46.7949093883], [3.0680961069, 46.8776803311], [3.0757442613, 47.0191481755], [3.0232191914, 47.0626123702], [3.0280905153, 47.129064982], [2.9834001334, 47.2597658796], [2.8734919392, 47.3483968596], [2.9288970093, 47.4445649313], [2.848901233, 47.5375413406], [2.9644517577, 47.5816323573], [2.9542289513, 47.6457741855], [2.8585167014, 47.7119910893], [2.8566700654, 47.7609291749], [3.0237994278, 47.7865501777], [3.0102886119, 47.9047169714], [3.1284487901, 47.9709768406], [3.0294681735, 48.1332044709], [2.9363157566, 48.1633917439], [2.7989459319, 48.1682730522], [2.7065430376, 48.1248192348], [2.5381145999, 48.1406508228], [2.5061863935, 48.238532108], [2.4207604701, 48.2992532779], [2.1813553737, 48.3137463721], [2.0046771416, 48.2847705697], [1.9428970139, 48.4410837861], [1.8014512894, 48.4660862143], [1.7653228552, 48.5693745675], [1.7092486768, 48.5780261001], [1.5795403954, 48.7018118078], [1.5912058811, 48.8148669729], [1.5015266013, 48.9410518412], [1.4683545148, 48.8922155976], [1.3621823367, 48.8341799202], [1.3195444496, 48.7609614404], [1.1847360438, 48.772630245], [0.9614442076, 48.7257221363], [0.8124167297, 48.6678410643], [0.8506353644, 48.5826257083], [0.9665514626, 48.522741687], [0.9422460342, 48.3990048437], [0.7621943025, 48.3068766386], [0.8304836557, 48.2107087286], [0.7976584164, 48.1944549651], [0.8525752195, 48.1336021735], [0.8242805734, 47.9821420362], [0.8457937919, 47.9414031394], [0.7598694159, 47.898224938], [0.7745735854, 47.8396844938], [0.5805204167, 47.7123307629], [0.6046373805, 47.6799684811], [0.4566280415, 47.6388263527], [0.3789542711, 47.5691048046], [0.2310198975, 47.6095410767], [0.2201066441, 47.5019523332], [0.1852789916, 47.4247361152], [0.0789789602, 47.2828221551], [0.053830056, 47.1637337475]]]}";47.4821212659, 1.68542522646
2020;PAYS DE LA LOIRE;52;HTA;218;175110,8701;115;2395309,694;29;19391,02123;40;383278,2959;94;623604,7655;8;91,14363151;"{""type"": ""Polygon"", ""coordinates"": [[[-1.1294064332, 46.3102723279], [-1.0138097056, 46.3556228689], [-0.9348939819, 46.312857623], [-0.8398845705, 46.3403670987], [-0.7502067812, 46.3041711873], [-0.5576474492, 46.3634513526], [-0.6406468691, 46.4162246637], [-0.6021324496, 46.5332795242], [-0.6141139929, 46.6203912896], [-0.6561932574, 46.7007745165], [-0.7273120462, 46.7676306547], [-0.7008577279, 46.8086258123], [-0.7816460026, 46.842827644], [-0.8291494587, 46.9333618604], [-0.7738784459, 47.0042476686], [-0.6199793575, 46.9933210828], [-0.5595316344, 47.0618831322], [-0.400781969, 47.0707682577], [-0.1848382972, 47.108333434], [-0.1283786613, 47.0544290407], [-0.044169214, 47.0932397804], [-0.0107394143, 47.1575121497], [0.053830056, 47.1637337475], [0.0789789602, 47.2828221551], [0.1852789916, 47.4247361152], [0.2201066441, 47.5019523332], [0.2310198975, 47.6095410767], [0.3789542711, 47.5691048046], [0.4566280415, 47.6388263527], [0.6046373805, 47.6799684811], [0.5805204167, 47.7123307629], [0.7745735854, 47.8396844938], [0.7598694159, 47.898224938], [0.8457937919, 47.9414031394], [0.8242805734, 47.9821420362], [0.8525752195, 48.1336021735], [0.7976584164, 48.1944549651], [0.7378296384, 48.1890696268], [0.6832196691, 48.2485882219], [0.5359704949, 48.2498445592], [0.4875765403, 48.3077958582], [0.3826098968, 48.3338284113], [0.3639563299, 48.4516317207], [0.2958558882, 48.4801748598], [0.1162476859, 48.4355556594], [0.0624898723, 48.3822138672], [-0.0518905893, 48.4532554132], [-0.1487176348, 48.4580692239], [-0.1693787826, 48.5369731561], [-0.3676233889, 48.4929443142], [-0.5050615508, 48.5057988275], [-0.6540003356, 48.444278312], [-0.7572771527, 48.436552496], [-0.8598848426, 48.501426304], [-1.0701643749, 48.5084920165], [-1.0827926456, 48.4330573788], [-1.045019599, 48.3277287276], [-1.1000554557, 48.2592776115], [-1.0212596212, 47.9949393086], [-1.1539896712, 47.9658166433], [-1.2458850129, 47.77671745], [-1.3904289319, 47.8282762571], [-1.5934046638, 47.776049297], [-1.6548173401, 47.7125893135], [-1.8640156729, 47.7069809654], [-2.0747327429, 47.6516629644], [-2.1073294073, 47.5310543791], [-2.3128644981, 47.4644707264], [-2.4584933201, 47.4481233293], [-2.5341061628, 47.3829612813], [-2.5138083846, 47.2983757331], [-2.3983798515, 47.2814487563], [-2.3016402823, 47.236400031], [-2.1873608303, 47.2806223608], [-2.1670631605, 47.166180557], [-2.2268201491, 47.1309359889], [-2.0534773711, 47.0941168735], [-1.9806006733, 47.0279512216], [-2.1538239816, 46.8901493992], [-2.1445060317, 46.8263991686], [-1.9428758596, 46.6927061144], [-1.8560152427, 46.6085807341], [-1.8123442739, 46.4934165652], [-1.6270620551, 46.4142205885], [-1.5021398542, 46.3973452334], [-1.4659374487, 46.3423564649], [-1.3667385251, 46.3486116368], [-1.2073980363, 46.266566974], [-1.1294064332, 46.3102723279]]]}";47.4769248845, -0.812825655044
2013;Bretagne;53;HTA;19;18657,49417;108;1404134,777;19;17197,50206;25;189321,8213;28;222551,5989;12;360,629;;
2013;Provence-Alpes-Côte d'Azur;93;HTA;149;443742,8737;4;65425,709;75;373687,4782;17;388966,5545;39;206493,6076;7;223,028;;
2014;Bourgogne-Franche-Comté;27;HTA;13;27436,74441;31;375402,5683;131;251511,019;15;126469,3861;18;167336,5483;9;1403,925;;
2014;Provence-Alpes-Côte d'Azur;93;HTA;166;627022,8733;5;57732,79857;82;418926,0576;20;349555,2931;40;240207,5196;8;3820,895;;
2014;Centre-Val de Loire;24;HTA;7;23292,736;56;1203228,307;16;46536,40028;20;289851,9374;26;194270,392;0;0;;
2015;Île-de-France;11;HTA;9;19613,649;4;52585,82278;5;55099,717;30;828528,7787;75;1014946,056;1;87,773;;
2015;Auvergne-Rhône-Alpes;84;HTA;85;286962,7238;51;750364,0195;347;1299149,156;36;621685,959;54;402790,4628;14;487,414;;
2017;Bourgogne-Franche-Comté;27;HTA;18;42381,156;62;1022646,004;138;190150,796;19;142437,049;22;223412,79;10;1723,28;;
2017;Provence-Alpes-Côte d'Azur;93;HTA;232;957663,938;6;66969,188;95;365317,1;22;447610,102;58;349160,768;9;1348,971;;
2019;Centre-Val de Loire;24;HTA;15;56968,77475;80;1850784,483;17;25470,38767;21;370076,9145;36;221807,7657;0;0;;
2018;Grand-Est;44;HTA;34;70998,47833;299;5790768,804;175;256680,1648;47;415613,4377;51;353178,4365;13;1465,642167;;
2018;Auvergne-Rhône-Alpes;84;HTA;108;364670,6328;62;980367,0378;359;1615699,524;37;681450,3076;67;505828,189;12;464,5858333;;
2019;Île-de-France;11;HTA;16;21377,4602;9;195924,0672;6;62045,48083;31;774752,4837;79;1083677,602;1;5,378;;
2011;Île-de-France;11;HTA;6;1371,026802;2;13838,09056;5;35898,722;26;757716,4972;82;1198851,085;0;0;;
2011;Grand-Est;44;HTA;19;13840,99408;150;2535555,963;172;174145,4934;17;176553,313;53;593663,9881;13;655,165;;
2011;Hauts-de-France;32;HTA;11;3943,831355;131;2331803,43;10;2893,44965;21;321200,037;75;761886,0571;6;256,934;;
2011;Auvergne-Rhône-Alpes;84;HTA;41;42587,51048;47;606347,8981;309;978646,4424;25;389710,4689;61;551780,2658;11;319,884991;;
2013;Occitanie;76;HTA;258;427575,0874;86;1676295,557;450;1386564,848;19;389715,2611;20;202462,1103;16;681,5640958;;
2013;Bourgogne-Franche-Comté;27;HTA;11;12918,62001;18;288054,523;132;286586,0169;13;110833,316;19;189840,1859;8;599,059;;
2014;Grand-Est;44;HTA;26;47684,72367;221;3805801,887;172;246182,3483;29;276880,3491;43;414833,9019;13;820,654;;
2014;Pays de la Loire;52;HTA;35;39457,80248;62;1071174,211;25;20825,04633;21;315556,7288;52;401064,453;1;93,648;;
2014;Île-de-France;11;HTA;9;19037,50533;2;37832,066;5;52098,877;27;834690,8023;70;933573,6348;1;40,43;;
2017;Île-de-France;11;HTA;14;18453,524;9;127003,848;5;58677,045;33;843470,162;79;1046621,044;1;89,099;;
2020;AUVERGNE RHONE ALPES;84;HTA;477;638478,2153;72;1099157,983;357;1623808,484;49;668346,7488;84;500101,15;6;4160,57175;"{""type"": ""Polygon"", ""coordinates"": [[[4.6492274235, 44.2703598077], [4.6790253293, 44.3204902352], [4.762254989, 44.3253816215], [4.8140898311, 44.2323147808], [5.0605607255, 44.3081371306], [5.1497309929, 44.2820864933], [5.154899666, 44.2309414699], [5.3845269212, 44.2010493372], [5.3832371389, 44.1552848108], [5.4547151333, 44.1192261325], [5.5439848356, 44.1363899112], [5.5761919645, 44.1880370346], [5.6844936764, 44.1927530534], [5.6315982014, 44.3283057155], [5.4930701488, 44.3371739495], [5.4185330628, 44.424944615], [5.5133416154, 44.4911259904], [5.6036448321, 44.4655424452], [5.5972525724, 44.5432736382], [5.649631118, 44.6178846055], [5.7906236817, 44.6532929048], [5.8503937497, 44.7507473724], [5.9495216337, 44.8045273557], [6.0563403817, 44.8159074308], [6.1362266704, 44.8640718192], [6.3553625022, 44.8547753527], [6.3588423782, 44.9412807958], [6.3182021616, 45.0038593611], [6.2039233205, 45.012471073], [6.2293919346, 45.1087499444], [6.3312951655, 45.1181238659], [6.3939107243, 45.0618177266], [6.4812555477, 45.0941389526], [6.629992302, 45.1093249629], [6.7679412928, 45.159739939], [6.8498552799, 45.1271645438], [6.968762081, 45.208057678], [7.137592718, 45.2556929798], [7.1106925788, 45.3265087955], [7.1842712161, 45.4074843704], [7.0997838904, 45.4694377497], [7.0003315139, 45.5044144977], [7.0006916862, 45.6398997492], [6.9346140945, 45.6470939276], [6.8291131566, 45.7028310393], [6.8020647988, 45.7799675995], [6.8180784499, 45.8349742689], [6.9396088642, 45.8467328701], [7.0438913499, 45.922087092699996], [7.0182519988, 45.9841853043], [6.8147295131, 46.129695648], [6.8036633002, 46.204343363], [6.864510831400001, 46.2829862279], [6.7826406405, 46.3368794456], [6.7956711769, 46.3930887437], [6.722864839, 46.4075504263], [6.5451764297, 46.3947246194], [6.3900333914, 46.3401630115], [6.2799144692, 46.3510934573], [6.2377992708, 46.2773369198], [6.2956514855, 46.226054581], [6.1266206934, 46.140460017], [5.985316810500001, 46.143308955], [5.971781266, 46.2115194872], [6.1242461803, 46.2510156503], [6.102643545, 46.2850629239], [6.1697363569, 46.3679352064], [6.0640056273, 46.4162225589], [5.9089357777, 46.2839507856], [5.72518184, 46.2607319348], [5.649344508, 46.3394945111], [5.542034019, 46.2702037948], [5.4730515404, 46.2650665471], [5.309835262, 46.4465639898], [5.2150628404, 46.4683592975], [5.2011399666, 46.5082114048], [5.0523715346, 46.4848737906], [4.9400218107, 46.5171993736], [4.7802082627, 46.1766762027], [4.7305257875, 46.1783685849], [4.693109857, 46.302197476], [4.6185580581, 46.2647938946], [4.5039940949, 46.2671324622], [4.4058135315, 46.2960578056], [4.3893979879, 46.2136013601], [4.2610250986, 46.1787543635], [4.1040867377, 46.1983913581], [3.9887880884, 46.1698052603], [3.8901309722, 46.214487049], [3.891238685, 46.2852461633], [3.9866271252, 46.319195576], [3.9980402829, 46.46546398], [3.890466581, 46.4812464575], [3.743289313, 46.5675652623], [3.6969575528, 46.660583033500004], [3.5980006526, 46.7239834974], [3.4871533163, 46.6582561554], [3.4341396009, 46.7119078427], [3.3467035851, 46.6844181611], [3.2697959512, 46.7167418189], [3.2155446436, 46.6828927541], [3.0490666681, 46.7580807412], [3.0320629441, 46.7949093883], [2.9599186279, 46.8038720753], [2.7744893811, 46.7189028964], [2.7049698717, 46.7393899921], [2.5966478586, 46.6372150668], [2.614960706, 46.5532764546], [2.3520036092, 46.5122068443], [2.2810437278, 46.4204035468], [2.3230230945, 46.3292774472], [2.391858138, 46.3299851632], [2.4789445821, 46.2811459906], [2.5597996291, 46.1733665585], [2.5490488888, 46.1140750057], [2.5944202186, 45.9894409749], [2.492227988, 45.8640299353], [2.3880140207, 45.8273731679], [2.4846414659, 45.7485214655], [2.5283596411, 45.681924314], [2.4653445128, 45.6008201491], [2.5163271749, 45.5534283918], [2.4874717094, 45.4188420292], [2.3782501191, 45.4143022094], [2.3504806858, 45.3275609226], [2.195363699, 45.2208514173], [2.2137008321, 45.160189965], [2.1717594845, 45.0814968017], [2.0951568732, 45.0560334648], [2.1329815747, 44.9855160375], [2.06290798, 44.9765045506], [2.094209764, 44.872012368200004], [2.1716374993, 44.790027108], [2.1552964923, 44.7002394425], [2.1941481718, 44.6262246079], [2.3267908312, 44.669693386], [2.4350008531, 44.6388749291], [2.5561225575, 44.7212839892], [2.6026823497, 44.8431631104], [2.738258109, 44.9412194917], [2.8019576506, 44.8736257551], [2.8496519747, 44.8714902308], [2.9232670004, 44.7286425252], [2.998574264, 44.6744429657], [3.1054945101, 44.8867748058], [3.182317038, 44.8637354224], [3.3379420513, 44.955906998], [3.4128322001, 44.9448416101], [3.4757711698, 44.8153706287], [3.7406494702, 44.8386973557], [3.8754615107, 44.7406269437], [3.8615128126, 44.7120169455], [3.9051707457, 44.5927089574], [3.9451514993, 44.5737899992], [3.998224588, 44.4597978975], [4.0684449499, 44.4051117353], [4.051456644, 44.3173218081], [4.1428714789, 44.3133517154], [4.2588499154, 44.2647837325], [4.3360706324, 44.3395191732], [4.5035386973, 44.340187516], [4.6492274235, 44.2703598077]], [[4.8922711847, 44.3616338133], [4.970437559300001, 44.4313672262], [5.0157545107, 44.3927671368], [4.9785833048, 44.2974612378], [4.8816338902, 44.3248670699], [4.8922711847, 44.3616338133]]]}";45.5129424657, 4.53485143815
2019;Nouvelle-Aquitaine;75;HTA;244;1671302,492;40;870547,2246;226;538159,777;42;557543,4434;55;334951,1526;9;428,3848333;;
2019;Bretagne;53;HTA;27;24012,47134;136;1909942,318;19;15535,46592;45;334187,5776;107;800623,7893;17;436,2621667;;
2019;Auvergne-Rhône-Alpes;84;HTA;133;521081,7642;68;1144244,626;363;1588255,06;38;703344,1606;68;496872,8842;12;157,9816667;;
2019;Bourgogne-Franche-Comté;27;HTA;23;124647,425;69;1533006,008;143;245692,2715;24;149620,5958;28;291950,124;8;29,50291667;;
2016;Bourgogne-Franche-Comté;27;HTA;14;39713,188;48;772217,663;134;261541,216;16;123432,915;18;195048,592;10;977,01;;
2016;Bretagne;53;HTA;19;18518,635;125;1469729,292;19;15589,352;38;257433,2847;78;541251,962;17;1474,823;;
2016;Occitanie;76;HTA;347;963301,362;101;1929380;474;1261968,067;22;431239,291;23;176301,101;16;1614,955;;
2018;Centre-Val de Loire;24;HTA;12;43056,162;70;1461816,362;17;15662,07467;21;368544,1935;30;227511,7728;0;0;;
2020;NOUVELLE AQUITAINE;75;HTA;600;1878177,293;58;1157838,974;232;600596,9784;50;549837,2265;76;366932,2403;29;14880,08073;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.1294064332, 46.3102723279], [-1.1111664092, 46.2613426844], [-1.1990017582, 46.2132435463], [-1.223870371, 46.1659463602], [-1.1264071987, 46.1242603574], [-1.0526895091, 46.0111825917], [-1.0643262929, 45.9499115462], [-1.137157981, 45.8198987082], [-1.2425689959, 45.7815753448], [-1.237223219, 45.7058956185], [-1.0096347332, 45.6114365304], [-1.0912045614, 45.5624112361], [-1.1570373594, 45.4703656599], [-1.1623374418, 45.2978687936], [-1.2229034641, 44.8648233979], [-1.1605278218, 44.7746669425], [-1.0363621413, 44.6935616054], [-1.0807927356, 44.6405991557], [-1.1915382412, 44.6607257036], [-1.2602783216, 44.5395075945], [-1.2514054654, 44.4888884033], [-1.3123263437, 44.144797833], [-1.4482076265, 43.6422750063], [-1.5973883732, 43.4374926565], [-1.7620222428, 43.3758873151], [-1.7297489236, 43.2956788589], [-1.6657592291, 43.3140786913], [-1.6089315872, 43.2521292479], [-1.5053259722, 43.2927875108], [-1.3827864939, 43.2532970078], [-1.4139466293, 43.1291782111], [-1.4717368567, 43.0810966133], [-1.3547517961, 43.0284680458], [-1.3432982771, 43.0953800339], [-1.0064490905, 42.9889920182], [-0.9464551138, 42.9540583989], [-0.7516340962, 42.9669372731], [-0.7297565855, 42.8965584493], [-0.5438096663, 42.7931567047], [-0.5096505518, 42.8253914967], [-0.3925973435, 42.7995594313], [-0.3134440845, 42.8493750211], [-0.3270823406, 42.9157852168], [-0.2915470319, 42.9877688635], [-0.2239464237, 43.0336840911], [-0.1909805129, 43.111202819], [-0.0170085263, 43.2704486462], [-0.0461225593, 43.3008584887], [0.0095923342, 43.4221061765], [-0.0690283428, 43.4373457438], [-0.0401354445, 43.5126043982], [-0.0967878717, 43.5824048565], [-0.2416171202, 43.5833899016], [-0.2777146535, 43.6162005262], [-0.232584747, 43.7140856116], [-0.1941382418, 43.7370150321], [-0.1791100533, 43.9379152311], [-0.0735971534, 43.9450460109], [0.0325516022, 43.9001915071], [0.0763049204, 43.9828294585], [0.1895713922, 44.014641613], [0.3040911439, 43.9930608089], [0.597977694, 44.0782245494], [0.6665968347, 44.0251442718], [0.7528786501, 44.10226791], [0.8687787531, 44.1263270917], [0.9499239237, 44.276443376], [0.8734714024, 44.3233072321], [0.8873358283, 44.3663740532], [1.0497968481, 44.3626393664], [1.0574845115, 44.4276732115], [1.0090202443, 44.480044617], [1.0131652927, 44.5361298185], [1.1537948801, 44.6394089899], [1.1466756286, 44.6703461289], [1.2877769807, 44.7147846178], [1.4419256468, 44.8775756924], [1.4133042326, 44.9993818131], [1.5357229531, 45.0462758518], [1.6509774863, 45.0250133079], [1.8239145075, 44.9276833478], [1.9081575006, 44.9784231822], [2.1329815747, 44.9855160375], [2.0951568732, 45.0560334648], [2.1717594845, 45.0814968017], [2.2137008321, 45.160189965], [2.195363699, 45.2208514173], [2.3504806858, 45.3275609226], [2.3782501191, 45.4143022094], [2.4874717094, 45.4188420292], [2.5163271749, 45.5534283918], [2.4653445128, 45.6008201491], [2.5283596411, 45.681924314], [2.4846414659, 45.7485214655], [2.3880140207, 45.8273731679], [2.492227988, 45.8640299353], [2.5944202186, 45.9894409749], [2.5490488888, 46.1140750057], [2.5597996291, 46.1733665585], [2.4789445821, 46.2811459906], [2.391858138, 46.3299851632], [2.3230230945, 46.3292774472], [2.2810437278, 46.4204035468], [2.0889457685, 46.4088996154], [1.9930771581, 46.4309173425], [1.8195044214, 46.4300338766], [1.7277096608, 46.3889559972], [1.6448463938, 46.3868167485], [1.5223067602, 46.4265276945], [1.4143961094, 46.347792873], [1.1772787761, 46.3839479995], [1.145928878, 46.5064008737], [0.8943032961, 46.6257321744], [0.9247492906, 46.6927896327], [0.8119019294, 46.7945043636], [0.790328569, 46.8523892822], [0.7043177119, 46.9032959213], [0.692566768, 46.9743043096], [0.5061349705, 46.9592454189], [0.4387045763, 46.9295783538], [0.3007387966, 46.9738295189], [0.2982299258, 47.0539222927], [0.1742180293, 47.071274231], [0.053830056, 47.1637337475], [-0.0107394143, 47.1575121497], [-0.044169214, 47.0932397804], [-0.1283786613, 47.0544290407], [-0.1848382972, 47.108333434], [-0.400781969, 47.0707682577], [-0.5595316344, 47.0618831322], [-0.6199793575, 46.9933210828], [-0.7738784459, 47.0042476686], [-0.8291494587, 46.9333618604], [-0.7816460026, 46.842827644], [-0.7008577279, 46.8086258123], [-0.7273120462, 46.7676306547], [-0.6561932574, 46.7007745165], [-0.6141139929, 46.6203912896], [-0.6021324496, 46.5332795242], [-0.6406468691, 46.4162246637], [-0.5576474492, 46.3634513526], [-0.7502067812, 46.3041711873], [-0.8398845705, 46.3403670987], [-0.9348939819, 46.312857623], [-1.0138097056, 46.3556228689], [-1.1294064332, 46.3102723279]]], [[[-1.250259515, 45.8459634541], [-1.2235741053, 45.9131071938], [-1.247919796, 45.9904184253], [-1.3839170491, 45.9514453897], [-1.250259515, 45.8459634541]]]]}";45.2029590664, 0.210623296022
2020;ILE DE FRANCE;11;HTA;111;60117,85176;12;312379,0252;6;44357,0855;31;822941,306;80;1034025,132;3;5156,762;"{""type"": ""Polygon"", ""coordinates"": [[[1.5015266013, 48.9410518412], [1.5912058811, 48.8148669729], [1.5795403954, 48.7018118078], [1.7092486768, 48.5780261001], [1.7653228552, 48.5693745675], [1.8014512894, 48.4660862143], [1.9428970139, 48.4410837861], [2.0046771416, 48.2847705697], [2.1813553737, 48.3137463721], [2.4207604701, 48.2992532779], [2.5061863935, 48.238532108], [2.5381145999, 48.1406508228], [2.7065430376, 48.1248192348], [2.7989459319, 48.1682730522], [2.9363157566, 48.1633917439], [3.0436326434, 48.2720205552], [3.0495229428, 48.3601167542], [3.3651606302, 48.3722824814], [3.4147888225, 48.3902685491], [3.3919585016, 48.4243176588], [3.4234477695, 48.533559074], [3.5459031083, 48.6280654789], [3.4604317355, 48.6530090774], [3.435810347, 48.7535717105], [3.4851833722, 48.8519103086], [3.4032208419, 48.864690111], [3.3047535825, 48.9487669653], [3.1716785231, 49.0141258888], [3.1652303377, 49.0996535544], [3.0696792706, 49.1167355356], [3.0085155423, 49.0915065604], [2.7350099333, 49.0604525157], [2.6332770991, 49.1083726342], [2.5966393582, 49.0816626297], [2.4409039786, 49.1458041116], [2.2524813607, 49.152881479], [2.080885092, 49.2097739285], [1.8852348791, 49.1626360276], [1.7421415991, 49.1801517243], [1.7043588288, 49.2321972209], [1.6233233619, 49.0860784034], [1.5217716034, 49.0685466922], [1.4577570077, 49.0262945711], [1.5015266013, 48.9410518412]]]}";48.7104112655, 2.50352826998
2012;Provence-Alpes-Côte d'Azur;93;HTA;128;393034,0417;4;63179,953;74;305781,8665;15;385385,3966;41;222134,2248;7;292,1004306;;
2012;Auvergne-Rhône-Alpes;84;HTA;67;121195,728;47;757396,107;318;1372100,898;28;446789,3683;57;487325,7143;10;456,6170415;;
2012;Bretagne;53;HTA;18;17556,28964;104;1285280,899;19;12934,20461;19;132158,4719;25;211657,0887;12;1262,27509;;
2013;Grand-Est;44;HTA;24;40757,418;191;3519883,457;169;320574,9348;23;245932,8239;47;478321,0277;13;369,796;;
2013;Île-de-France;11;HTA;8;17711,57692;2;38321,196;5;35097,005;29;767352,4309;77;1009523,695;1;39,441;;
2015;Provence-Alpes-Côte d'Azur;93;HTA;181;759248,4356;6;60198,5121;84;337120,0909;20;410597,083;41;263162,021;10;8426,440038;;
2019;Pays de la Loire;52;HTA;50;113173,8451;99;1889244,605;22;15473,0815;30;340752,3373;80;541364,4121;3;6,888;;
2019;Provence-Alpes-Côte d'Azur;93;HTA;267;1144100,674;5;59252,7955;94;429501,0429;21;410621,5316;56;378588,5259;9;558,5335;;
2019;Grand-Est;44;HTA;61;75673,50802;327;7153932,043;176;311469,9801;69;541005,7292;59;488806,1387;13;241,1834163;;
2018;Bourgogne-Franche-Comté;27;HTA;18;79462,49467;62;1209686,393;135;199599,8253;19;153685,043;22;240011,3318;9;269,0016667;;
2018;Pays de la Loire;52;HTA;46;106808,5903;89;1595122,799;23;17410,507;30;313316,6405;63;490746,5848;3;66,7725;;
2017;Hauts-de-France;32;HTA;15;30691,357;307;5221871,72;10;3072,504;44;482180,07;74;594224,726;1;107,077;;
2017;Centre-Val de Loire;24;HTA;12;42178,806;68;1355531,142;17;20648,574;23;365743,614;32;231999,888;0;0;;
2016;Grand-Est;44;HTA;30;52670,235;270;4619591,815;172;286431,787;42;334492,716;53;411660,4363;13;2587,515;;
2012;Bourgogne-Franche-Comté;27;HTA;9;8667,552462;17;270915,4281;134;245698,9583;13;106869,9241;23;262400,6382;8;523,2429963;;
2012;Pays de la Loire;52;HTA;27;27349,46098;53;884645,7049;22;14095,22497;17;232255,8403;46;404722,2921;1;15863,767;;
2014;Normandie;28;HTA;10;32419,753;62;1045249,905;30;134732,0821;17;97122,46878;35;369759,533;10;738,148;;
2015;Occitanie;76;HTA;302;811992,5601;94;1735181,881;472;1154205,15;21;408402,8657;20;178434,6975;16;1057,172529;;
2019;Normandie;28;HTA;16;52508,16891;91;1763731,629;30;114398,6689;32;128359,452;43;449541,746;3;287,5043333;;
2018;Île-de-France;11;HTA;13;19557,24767;7;142951,3312;5;39734,0385;31;863131,6582;78;1029138,68;1;66,11;;
2018;Normandie;28;HTA;11;33848,23917;82;1454981,292;30;104781,283;28;131468,4405;40;444687,3202;8;203,6208333;;
2017;Occitanie;76;HTA;366;1150698,458;115;2221060,949;479;1087818,764;24;440498,981;26;196699,035;16;1654,221;;
2011;Pays de la Loire;52;HTA;24;7433,426037;45;703318,8946;22;10065,10935;12;190073,2789;49;406570,0376;1;26156,747;;
2011;Normandie;28;HTA;5;817,123733;50;828798,5792;39;100929,2857;10;85532,43475;41;461346,559;11;263,0609998;;
